objectid,filename,title,creator,date,description,source_title,source_author,source_designer,item_size,material,hex_color,format,file_size,rights
S001,rbc_gs.jpg,Interpretation of Remarkably Bright Creatures,"Yordanoff, Haley",2024-12-30,crochet basic granny square of five rounds using granny stitch and 5mm hook,Remarkably Bright Creatures,"Van Pelt, Shelby","Rowe, Vivian",11x11 cm,acrylic yarn,#5e7fa0;#c54f08; #33274f; #41544b; #c8ad30,image/jpg,2.8 MB,Copyright Haley Yordanoff 2025
S002,yellowface_gs.jpg,Interpretation of Yellowface,"Yordanoff, Haley",2025-03-31,crochet basic granny square of five rounds using granny stitch and 5mm hook,Yellowface,"Kuang, R. F.",,11.5x11.5 cm,acrylic yarn,#d6b909; #e0dfcc; #0e171a,image/jpg,3.4 MB,Copyright Haley Yordanoff 2025
S003,theguest_gs.jpg,Interpretation of The Guest,"Yordanoff, Haley",2025-04-02,crochet basic granny square of five rounds using granny stitch and 5mm hook,The Guest,"Cline, Emma","Munday, Oliver",12x12 cm,cotton yarn,#17553e; #1d3e70,image/jpg,2.7 MB,Copyright Haley Yordanoff 2025
S004,tm_gs.jpg,Interpretation of Trick Mirror,"Yordanoff, Haley",2025-04-15,crochet basic granny square of five rounds using granny stitch and 5mm hook,Trick Mirror,"Tolentino, Jia","Durvasula, Sharanya",11.5x11.5 cm,acrylic yarn,#9b492f; #e0dfcc; #bca145; #cc1466; #c54f08,image/jpg,3.3 MB,Copyright Haley Yordanoff 2025
S005,uzumaki_gs.jpg,Interpretation of Uzumaki,"Yordanoff, Haley",2025-04-15,crochet basic granny square of five rounds using granny stitch and 5mm hook,Uzumaki (3-in-1 Deluxe Edition),"Ito, Junji",,12x12 cm,acrylic yarn; cotton yarn,#0e171a; #8a8d88; #e12f51,image/jpg,3.1 MB,Copyright Haley Yordanoff 2025
S006,gm_gs.jpg,Interpretation of Good Material,"Yordanoff, Haley",2025-04-16,crochet basic granny square of five rounds using granny stitch and 5mm hook,Good Material,"Alderton, Dolly","Pascuzzo, Philip; Ewbank, Emma",12x12 cm,acrylic yarn; cotton yarn,#c8ad30; #17553e; #1d3e70; #cc1466; #e12f51,image/jpg,2.8 MB,Copyright Haley Yordanoff 2025
S007,htfoolm_gs.jpg,Interpretation of How to Fall Out of Love Madly,"Yordanoff, Haley",2025-04-16,crochet basic granny square of five rounds using granny stitch and 5mm hook,How to Fall Out of Love Madly,"Casale, Jana","Cheng, Donna",11x11 cm,acrylic yarn,#bc8c3f; #c54f08; #cc1466; #ddbabe; #e0bdb4,image/jpg,3.1 MB,Copyright Haley Yordanoff 2025
S008,owuts_gs.jpg,Interpretation of Our Wives Under the Sea,"Yordanoff, Haley",2025-04-17,crochet basic granny square of five rounds using granny stitch and 5mm hook,Our Wives Under the Sea,"Armfield, Julia",,11x11 cm,acrylic yarn; cotton yarn,#ddbabe; #c4a088; #844739; #3e5463; #eeccaa,image/jpg,3.3 MB,Copyright Haley Yordanoff 2025
S009,cp_gs.jpg,Interpretation of The Complete Persepolis,"Yordanoff, Haley",2025-04-15,crochet basic granny square of five rounds using granny stitch and 5mm hook,The Complete Persepolis,"Satrapi, Marjane",,12x12 cm,acrylic yarn,#5e7fa0; #e0dfcc; #0e171a; #8a8d88,image/jpg,3.2 MB,Copyright Haley Yordanoff 2025
S010,aomo_gs.jpg,Interpretation of The Age of Magical Overthinking,"Yordanoff, Haley",2025-04-16,crochet basic granny square of five rounds using granny stitch and 5mm hook,The Age of Magical Overthinking,"Montell, Amanda","Iacobelli, James; Kwan, Laywah",12x12 cm,acrylic yarn; cotton yarn,#17553e; #e12f51; #bc8c3f; #637d95; #b47f8f,image/jpg,3.1 MB,Copyright Haley Yordanoff 2025
S011,sotr_gs.jpg,Interpretation of Sunrise on the Reaping,"Yordanoff, Haley",2025-04-14,crochet basic granny square of five rounds using granny stitch and 5mm hook,Sunrise on the Reaping,"Collins, Suzanne","O'Brien, Tim ",11x11 cm,acrylic yarn,#33274f; #bca145; #6f5c6f,image/jpg,2.8 MB,Copyright Haley Yordanoff 2025
S012,annihilation_gs.jpg,Interpretation of Annihilation,"Yordanoff, Haley",2025-04-15,crochet basic granny square of five rounds using granny stitch and 5mm hook,Annihilation,"VanderMeer, Jeff","Nyquist, Eric; Strick, Charlotte",12x12 cm,acrylic yarn,#e0dfcc; #0e171a; #95d873; #243b2f ,image/jpg,2.9 MB,Copyright Haley Yordanoff 2025
S013,wtwto_gs.jpg,Interpretation of When the World Tips Over,"Yordanoff, Haley",2025-04-17,crochet basic granny square of five rounds using granny stitch and 5mm hook,When the World Tips Over,"Nelson, Jandy","Evangelista, Theresa",11.5x11.5 cm,acrylic yarn; cotton yarn,#5e7fa0; #bc8c3f; #b47f8f; #a2b085; #f4e794,image/jpg,3.2 MB,Copyright Haley Yordanoff 2025
S014,safa_gs.jpg,Interpretation of Such a Fun Age,"Yordanoff, Haley",2025-04-15,crochet basic granny square of five rounds using granny stitch and 5mm hook,Such a Fun Age,"Reid, Kiley","Nguyen, Vi-An",11.5x11.5 cm,acrylic yarn,#5e7fa0; #0e171a;  #ddbabe,image/jpg,2.9 MB,Copyright Haley Yordanoff 2025
S015,ita_gs.jpg,Interpretation of Into Thin Air,"Yordanoff, Haley",2025-04-16,crochet basic granny square of five rounds using granny stitch and 5mm hook,Into Thin Air,"Krakauer, Jon","Krakauer, Jon; Rembert, Daniel",11.5x11.5 cm,acrylic yarn,"#e0dfcc, #0e171a; #8a8d88; #3e5463; #363f5a",image/jpg,2.6 MB,Copyright Haley Yordanoff 2025
